ItemCode,ItemName,English,French,English_(UK)
CCR00017,Estante Cristal inf Vitrina 1322x410x8,Glass shelf inf Showcase 1322x410x8,Etagère en verre inf Vitrine 1322x410x8,
CCR00018,Estante Cristal mig Vitrina 1322x350x8,Glass shelf mig Showcase 1322x350x8,Étagère en verre mig Vitrine 1322x350x8,
CCR00019,Estante Cristal sup Vitrina 1322x290x8,Glass shelf sup Showcase 1322x290x8,Etagère en verre sup Vitrine 1322x290x8,
CCR00022,Vidre vitrina aislaglas 3+6+3 610X686,Vidre insulated display cabinet 3 + 6 + 3 610X686,Vitrine isolée Vidre 3 + 6 + 3 610X686,
CCR00023,Cristal Lateral Izq Serigrafiado Vitrina Abierta 684X829x10 Templado,Left Side Glass Serigraph Open Showcase 684X829x10 Tempered,Vitrine ouverte sérigraphiée en verre côté gauche 684X829x10 trempé,
CCR00024,Cristal templado 2GN para vitro,2GN tempered glass for vitro,Verre trempé 2GN pour vitro,
CCR00025,Cristal templado 3GN para vitro,3GN tempered glass for vitro,Verre trempé 3GN pour vitro,
CCR00026,Cristal templado 4GN para vitro,4GN tempered glass for vitro,Verre trempé 4GN pour vitro,
CCR00027,Cristal templado 5GN para vitro,5GN tempered glass for vitro,Verre trempé 5GN pour vitro,
CCR00028,Cristal 560x330,Glass 560x330,Verre 560x330,
CCR00029,Cristal templado 6GN para vitro,6GN tempered glass for vitro,Verre trempé 6GN pour vitro,
CCR00030,Cristal templado 2GN para vitro Showcooking,2GN tempered glass for vitro Showcooking,Verre trempé 2GN pour vitro Showcooking,
CCR00031,Cristal templado 3GN para vitro Showcooking,3GN tempered glass for vitro Showcooking,Verre trempé 3GN pour vitro Showcooking,
CCR00032,Cristal templado 4GN para vitro Showcooking,4GN tempered glass for vitro Showcooking,Verre trempé 4GN pour vitro Showcooking,
CCR00033,Cristal templado 5GN para vitro Showcooking,5GN tempered glass for vitro Showcooking,Verre trempé 5GN pour vitro Showcooking,
CCR00034,Cristal templado 6GN para vitro Showcooking,6GN tempered glass for vitro Showcooking,Verre trempé 6GN pour vitro Showcooking,
CCR00035,Lateral de Cristal para V.A. Redonda (834X685MM),Glass Side for Round VA,Côté en verre pour rond VA,
CCR00036,Lateral de Cristal para V.A. Recta (834X700mm),Glass Side for Straight VA,Côté en verre pour VA droit,
CCR00037,Estante Superior V.A. 3GN  (290x993mm),VA 3GN Top Shelf,Étagère supérieure VA 3GN,
CCR00038,Estante Medio V.A. 3GN  (350x993mm),Medium Shelf VA 3GN,Etagère moyenne VA 3GN,
CCR00039,Estante Inferior V.A.  3GN  (410x993mm),Lower Shelf VA 3GN,Etagère inférieure VA 3GN,
CCR00040,Estante Superior V.A. 4GN  (290x1323),Top Shelf VA 4GN,Étagère supérieure VA 4GN,
CCR00041,Estante Medio V.A. 4GN (350x1323mm),Medium Shelf VA 4GN,Etagère moyenne VA 4GN,
CCR00042,Estante inferior V.A. 4GN  (410x1323mm),Lower shelf VA 4GN,Etagère inférieure VA 4GN,
CCR00043,Puerta Corredera V.A. 3GN (747x544mm),Sliding door VA 3GN,Porte coulissante VA 3GN,
CCR00044,Puerta Corredera V.A. 4GN (747x709),Sliding door VA 4GN,Porte coulissante VA 4GN,
CCRB0024,Cristal templado 2GN para vitro Blanco,2GN tempered glass for white glass,Verre trempé 2GN pour verre blanc,
CCRB0025,Cristal templado 3GN para vitro Blanca,3GN tempered glass for white glass,Verre trempé 3GN pour verre blanc,
CCRB0026,Cristal templado 4GN para vitro Blanca,4GN tempered glass for white vitro,Verre trempé 4GN pour vitro blanc,
CCRB0027,Cristal templado 5GN para vitro Blanca,5GN tempered glass for white glass,Verre trempé 5GN pour verre blanc,
CCRB0029,Cristal templado 6GN para vitro Blanca,6GN tempered glass for white glass,Verre trempé 6GN pour verre blanc,
CCRB0030,Cristal templado 2GN Showcooking Blanco,2GN Showcooking White tempered glass,2GN Showcooking Verre trempé blanc,
CCRB0031,Cristal templado 3GN Showcooking Blanco,Tempered glass 3GN Showcooking White,Verre Trempé 3GN Showcooking Blanc,
CCRB0032,Cristal templado 4GN Showcooking Blanco,Tempered glass 4GN Showcooking White,Verre trempé 4GN Showcooking Blanc,
CCRB0033,Cristal templado 5GN Showcooking Blanco,Tempered glass 5GN Showcooking White,Verre Trempé 5GN Showcooking Blanc,
CCRB0034,Cristal templado 6GN Showcooking Blanco,Tempered glass 6GN Showcooking White,Verre Trempé 6GN Showcooking Blanc,
CCRCU001,Cristal Curvo para Buffet GN 2/1,Curved Glass for Buffet GN 2/1,Verre bombé pour Buffet GN 2/1,
CCRCU002,Cristal Curvo para Buffet GN 3/1,Curved Glass for Buffet GN 3/1,Verre bombé pour Buffet GN 3/1,
CCRCU003,Cristal Curvo para Buffet GN 4/1,Curved Glass for Buffet GN 4/1,Verre bombé pour Buffet GN 4/1,
CCRCU004,Cristal Curvo para Buffet GN 5/1,Curved Glass for Buffet GN 5/1,Verre bombé pour Buffet GN 5/1,
CCRCU005,Cristal Curvo para self GN 2/1,Curved glass for self GN 2/1,Verre bombé pour auto GN 2/1,
CCRCU006,Cristal Curvo para self GN 5/1,Curved glass for self GN 5/1,Verre bombé pour auto GN 5/1,
CCRCU007,Cristal Curvo para Self GN 6/1,Curved Glass for Self GN 6/1,Verre bombé pour Self GN 6/1,
CCRCU008,Cristal Curvo para Self GN 3/1,Curved Glass for Self GN 3/1,Verre bombé pour Self GN 3/1,
CCRCU009,Cristal Curvo para Self GN 4/1,Curved Glass for Self GN 4/1,Verre bombé pour Self GN 4/1,
CCRCU011,Estante de cristal GN 2/1 (690x400),Glass shelf GN 2/1 (690x400),Etagère en verre GN 2/1 (690x400),
CCRCU012,Estante de cristal GN 3/1 (1015x400),Glass shelf GN 3/1 (1015x400),Etagère en verre GN 3/1 (1015x400),
CCRCU013,Estante de cristal GN 4/1 (1395x400),Glass shelf GN 4/1 (1395x400),Etagère en verre GN 4/1 (1395x400),
CCRCU014,Estante de cristal GN 5/1 (1665x400),Glass shelf GN 5/1 (1665x400),Etagère en verre GN 5/1 (1665x400),
CCRCU015,Estante de cristal GN 5/1 (1665x400),Glass shelf GN 5/1 (1665x400),Etagère en verre GN 5/1 (1665x400),
CCRCU016,Protector recto frontal de cristal GN 2/1 (690x400),Front straight glass protector GN 2/1 (690x400),Protecteur de vitre avant droit GN 2/1 (690x400),
CCRCU017,Protector recto frontal de cristal GN 3/1 (1015x400),Front straight glass protector GN 3/1 (1015x400),Protecteur de vitre avant droit GN 3/1 (1015x400),
CCRCU018,Protector recto frontal de cristal GN 4/1 (1395x400),Front straight glass protector GN 4/1 (1395x400),Protecteur de vitre avant droit GN 4/1 (1395x400),
CCRCU019,Protector recto frontal de cristal GN 5/1 (1665x400),Front straight glass protector GN 5/1 (1665x400),Protecteur de vitre avant droit GN 5/1 (1665x400),
CCRCU020,Cristal frontal recto GN 3/1 (self),Straight front glass GN 3/1 (self),Vitre frontale droite GN 3/1 (self),
CCRCU021,Cristal frontal recto GN 4/1 (self),Straight front glass GN 4/1 (self),Vitre frontale droite GN 4/1 (self),
CCRCU022,Cristal frontal recto GN 5/1 (DESCATALOGADO),Straight front glass GN 5/1 (DISCONTINUED),Vitre frontale droite GN 5/1 (ARRÊTÉ),
CCRCU023,Cristal curvo 2 caras para buffet 4GN (drop in con pantalla),2-sided curved glass for buffet 4GN (drop in with screen),Verre bombé 2 faces pour buffet 4GN (drop in avec paravent),
CCRCU024,Cristal curvo 2 caras 2/1 GN,Curved glass 2 faces 2/1 GN,Verre bombé 2 faces 2/1 GN,
CCRCU025,Cristal curvo 2 caras 3/1 GN,Curved glass 2 sides 3/1 GN,Verre bombé 2 faces 3/1 GN,
CCRCU026,Cristal curvo 2 caras 4/1 GN,Curved glass 2 faces 4/1 GN,Verre bombé 2 faces 4/1 GN,
CCRCU027,Cristal curvo 2 caras 5/1 GN,Curved glass 2 faces 5/1 GN,Verre bombé 2 faces 5/1 GN,
CCRCU028,Cristal protector frontal recto 2 GN (582x340),Straight front protective glass 2 GN (582x340),Verre de protection frontal droit 2 GN (582x340),
CCRCU029,Cristal protector frontal recto 3 GN (912x340),Straight front protective glass 3 GN (912x340),Verre de protection frontal droit 3 GN (912x340),
CCRCU030,Cristal protector frontal recto 4 GN (1242x340),Straight front protective glass 4 GN (1242x340),Verre de protection avant droit 4 GN (1242x340),
CCRCU031,Cristal protector frontal recto 5 GN (1572x340),Straight front protective glass 5 GN (1572x340),Verre de protection frontal droit 5 GN (1572x340),
CCRCU032,Cristal recto 2/1 GN,Straight glass 2/1 GN,Verre droit 2/1 GN,
CCRCU033,Cristal recto 3/1 GN,Straight glass 3/1 GN,Verre droit 3/1 GN,
CCRCU034,Cristal recto 4/1 GN,Straight glass 4/1 GN,Verre droit 4/1 GN,
CCRCU035,Cristal recto 5/1 GN,Straight glass 5/1 GN,Verre droit 5/1 GN,
CCRCU036,Cristal frontal recto 2/1 GN,Straight front glass 2/1 GN,Vitre frontale droite 2/1 GN,
CCRCU037,Cristal frontal recto 3/1 GN,Straight front glass 3/1 GN,Vitre frontale droite 3/1 GN,
CCRCU038,Cristal frontal recto 4/1 GN,Straight front glass 4/1 GN,Vitre frontale droite 4/1 GN,
CCRCU039,Cristal frontal recto 5/1 GN,Straight front glass 5/1 GN,Vitre frontale droite 5/1 GN,
CCRCU040,Cristal Curvo 2 Caras 2GN 725x550,Curved Glass 2 Sides 2GN 725x550,Verre bombé 2 faces 2GN 725x550,
CCRCU041,Cristal Curvo 2 Caras 3GN 1055x550,Curved Glass 2 Sides 3GN 1055x550,Verre bombé 2 faces 3GN 1055x550,
CCRCU042,Cristal Curvo 2 Caras 4GN 1385x550,Curved Glass 2 Sides 4GN 1385x550,Verre bombé 2 faces 4GN 1385x550,
CCRCU043,Cristal Curvo 2 Caras 5GN 1715x550,Curved Glass 2 Sides 5GN 1715x550,Verre bombé 2 faces 5GN 1715x550,
CCRCU044,Cristal Curvo 2 Caras 6GN 1015x550,Curved Glass 2 Sides 6GN 1015x550,Verre bombé 2 faces 6GN 1015x550,
CCRCU045,Cristal Recto 2GN 725x550,Straight Glass 2GN 725x550,Verre droit 2GN 725x550,
CCRCU046,Cristal Recto 3GN 1055x550,Straight Glass 3GN 1055x550,Verre droit 3GN 1055x550,
CCRCU047,Cristal Recto 4GN 1385x550,Straight Glass 4GN 1385x550,Verre droit 4GN 1385x550,
CCRCU048,Cristal Recto 5GN 1715x550,Straight Glass 5GN 1715x550,Verre droit 5GN 1715x550,
CCRCU049,Cristal Recto 6GN 1015x550,Straight Glass 6GN 1015x550,Verre droit 6GN 1015x550,
CCRCU050,Cristal Frontal 2GN 725x340,Front-Curved Glass 2GN 725x340,Verre bombé avant 2GN 725x340,
CCRCU051,Cristal Frontal 3GN 1055x340,Front-Curved Glass 3GN 1055x340,Verre bombé avant 3GN 1055x340,
CCRCU052,Cristal Frontal 4GN 1385x340,Frontal-Curved Glass 4GN 1385x340,Verre bombé frontal 4GN 1385x340,
CCRCU053,Cristal Frontal 5GN 1715x340,Front-Curved Glass 5GN 1715x340,Verre Courbé Avant 5GN 1715x340,
CCRCU054,Cristal Frontal 6GN 1015x340,Frontal-Curved Glass 6GN 1015x340,Verre bombé frontal 6GN 1015x340,
CCRCU055,Cristal Frontal-Recto 2GN 725x390,Front-Straight Glass 2GN 725x390,Verre avant droit 2GN 725x390,
CCRCU056,Cristal Frontal-Recto 3GN 1055x390,Front-Straight Glass 3GN 1055x390,Verre Avant-Droit 3GN 1055x390,
CCRCU057,Cristal Frontal-Recto 4GN 1385x390,Front-Straight Glass 4GN 1385x390,Verre avant droit 4GN 1385x390,
CCRCU058,Cristal Frontal-Recto 5GN 1715x390,Front-Straight Glass 5GN 1715x390,Verre Avant-Droit 5GN 1715x390,
CCRCU059,Cristal Frontal-Recto 6GN 1015x390,Front-Straight Glass 6GN 1015x390,Verre Avant-Droit 6GN 1015x390,
CCRCU060,Cristal Lateral-Curvo,Side-Curved Glass,Verre à courbure latérale,
CCRCU061,Cristal Lateral-Inclinado,Side-Inclined Glass,Verre à inclinaison latérale,
CCRCU062,Cristal Lateral-Recto,Side-Straight Glass,Verre latéral droit,
CCRFU007,Cristal frontal para Self GN 6/1,Front glass for Self GN 6/1,Vitre frontale pour Self GN 6/1,
CCRFU008,Cristal frontal para Self GN 3/1,Front glass for Self GN 3/1,Vitre frontale pour Self GN 3/1,
CCRFU009,Cristal frontal para Self GN 4/1,Front glass for Self GN 4/1,Vitre frontale pour Self GN 4/1,
CCRONI00,Consumo de cronigon 2,,,
CCUEN001,Cuba para encastrar 2/1 GN prof. 160,Tank to embed 2/1 GN prof. 160,Cuve à encastrer 2/1 GN prof. 160,
CCUEN002,Cuba para encastrar 2/1 GN prof. 210,Tank to embed 2/1 GN prof. 210,Cuve à encastrer 2/1 GN prof. 210,
CCUEN003,Cuba para encastrar 3/1 GN prof. 160_x000D_,Well to embed 3/1 GN prof. 160,Puits à encastrer 3/1 GN prof. 160,
CCUEN004,Cuba para encastrar 3/1 GN prof. 210,Well to embed 3/1 GN prof. 210,Puits à encastrer 3/1 GN prof. 210,
CCUEN005,Cuba para encastrar 4/1 GN prof. 160,Cuba to embed 4/1 GN prof. 160,Cuba va intégrer 4/1 GN prof. 160,
CCUEN006,Cuba para encastrar 4/1 GN prof. 210,Cuba to embed 4/1 GN prof. 210,Cuba va intégrer 4/1 GN prof. 210,
CCUEN007,Cuba para encastrar 5/1 GN prof. 160,Cuba to embed 5/1 GN prof. 160,Cuba va intégrer 5/1 GN prof. 160,
CCUEN008,Cuba para encastrar 5/1 GN prof. 210,Cuba to embed 5/1 GN prof. 210,Cuba va intégrer 5/1 GN prof. 210,
CCUEN009,Cuba para encastrar 1/1 GN prof. 210,Cuba to embed 1/1 GN prof. 210,Cuba pour intégrer 1/1 GN prof. 210,
CCUEN010,Cuba para encastrar 3/1 GN prof. 75,Well to embed 3/1 GN prof. 75,Puits à encastrer 3/1 GN prof. 75,
CCUEN011,Cuba para encastrar 4/1 GN prof. 75,Cuba to embed 4/1 GN prof. 75,Cuba va intégrer 4/1 GN prof. 75,
CCUEN012,Cuba para encastrar 5/1 GN prof. 75,Cuba to embed 5/1 GN prof. 75,Cuba va intégrer 5/1 GN prof. 75,
CCUEN030,Encimera para encastrar 3/1 GN prof. 165 inox 1 mm,Countertop to embed 3/1 GN depth. 165 stainless 1 mm,Plan de travail à encastrer profondeur 3/1 GN. 165 inox 1 mm,
CCUEN031,Encimera para encastrar 4/1 GN prof. 165 inox 1 mm,Countertop to embed 4/1 GN prof. 165 stainless 1 mm,Plan de travail à encastrer 4/1 GN prof. 165 inox 1 mm,
CCUEN033,Encimera para encastrar 6/1 GN prof. 165 inox 1 mm,Countertop to embed 6/1 GN prof. 165 stainless 1 mm,Plan de travail à encastrer 6/1 GN prof. 165 inox 1 mm,
CCUEN035,Encimera para encastrar 3/1 GN prof. 200 inox 1 mm,Countertop to embed 3/1 GN depth. 200 inox 1 mm,Plan de travail à encastrer profondeur 3/1 GN. 200 inox 1 mm,
CCUEN036,Encimera para encastrar 4/1 GN prof. 200 inox 1 mm,Countertop to embed 4/1 GN prof. 200 inox 1 mm,Plan de travail à encastrer profondeur 4/1 GN. 200 inox 1 mm,
CCUEN038,Encimera para encastrar 6/1 GN prof. 200 inox 1 mm,Countertop to embed 6/1 GN prof. 200 inox 1 mm,Plan de travail à encastrer 6/1 GN prof. 200 inox 1 mm,
CCUEN039,Encimera Janus encastrar 2/1 GN prof. 65,Janus countertop embeddable 2/1 GN prof. 65,Plan de travail Janus encastrable 2/1 GN prof. 65,
CCUEN040,Encimera para encastrar 3/1 GN prof. 200 CCUEN035 con agujeros,Countertop to embed 3/1 GN depth. 200 CCUEN035 with holes,Plan de travail à encastrer profondeur 3/1 GN. 200 CCUEN035 avec trous,
CCUEN041,Encimera para encastrar 4/1 GN prof. 200 CCUEN036 con agujeros,Countertop to embed 4/1 GN prof. 200 CCUEN036 with holes,Plan de travail à encastrer profondeur 4/1 GN. 200 CCUEN036 avec trous,
CCUEN042,Encimera para encastrar 6/1 GN prof. 200 CCUEN038 con agujeros,Countertop to embed 6/1 GN prof. 200 CCUEN038 with holes,Plan de travail à encastrer 6/1 GN prof. 200 CCUEN038 avec trous,
CCUEN043,Encimera con placa para encastrar 3/1 GN CCUEN076 con agujeros,Countertop with plate to embed 3/1 GN CCUEN076 with holes,Plan de travail avec plaque à encastrer 3/1 GN CCUEN076 avec trous,
CCUEN044,Encimera con placa para encastrar 4/1 GN CCUEN077 con agujeros,Countertop with 4/1 GN CCUEN077 recessed plate with holes,Plan de travail avec plaque à encastrer 4/1 GN CCUEN077 avec trous,
CCUEN045,Encimera con placa para encastrar 6/1 GN CCUEN078 con agujeros,Countertop with plate to embed 6/1 GN CCUEN078 with holes,Plan de travail avec plaque à encastrer 6/1 GN CCUEN078 avec trous,
CCUEN051,Cuba para encastrar 3/1 GN prof. 160 con pantalla,Well to embed 3/1 GN prof. 160 with display,Puits à encastrer 3/1 GN prof. 160 avec affichage,
CCUEN052,Cuba para encastrar 4/1 GN prof. 160 con pantalla,Cuba to embed 4/1 GN prof. 160 with display,Cuba va intégrer 4/1 GN prof. 160 avec affichage,
CCUEN053,Cuba para encastrar 5/1 GN prof. 160 con pantalla,Cuba to embed 5/1 GN prof. 160 with display,Cuba va intégrer 5/1 GN prof. 160 avec affichage,
CCUEN054,Cuba para encastrar 2/1 GN prof. 160,Tank to embed 2/1 GN prof. 160,Cuve à encastrer 2/1 GN prof. 160,
CCUEN055,Placa fria 3GN con pantalla,3GN cold plate with display,Plaque froide 3GN avec afficheur,
CCUEN056,Placa fria 4GN con pantalla,4GN cold plate with screen,Plaque froide 4GN avec écran,
CCUEN057,Placa fria 5GN con pantalla,5GN cold plate with display,Plaque froide 5GN avec afficheur,
CCUEN058,Placa fria 2GN con pantalla,2GN cold plate with screen,Plaque froide 2GN avec écran,
CCUEN059,Placa fria 2GN de 2 niveles con pantalla,2GN 2-level cold plate with display,Plaque froide 2GN 2 niveaux avec afficheur,
CCUEN060,Placa fria 3GN de 2 niveles con pantalla,2-level 3GN cold plate with display,Plaque froide 3GN 2 niveaux avec afficheur,
CCUEN061,Placa fria 4GN de 2 niveles con pantalla,2-level 4GN cold plate with display,Plaque froide 4GN 2 niveaux avec afficheur,
CCUEN062,Placa fria 5GN de 2 niveles con pantalla,2-level 5GN cold plate with display,Plaque froide 5GN 2 niveaux avec afficheur,
CCUEN063,Placa fria 2GN Sin agujeros pantalla,2GN cold plate Without screen holes,Plaque froide 2GN Sans trous de tamis,
CCUEN064,Placa fria 3GN Sin agujeros pantalla,Cold plate 3GN Without screen holes,Plaque froide 3GN Sans trous de tamis,
CCUEN065,Placa fria 4GN Sin agujeros pantalla,Cold plate 4GN Without screen holes,Plaque froide 4GN Sans trous de tamis,
CCUEN066,Placa fria 5GN Sin agujeros pantalla,5GN cold plate Without screen holes,Plaque froide 5GN Sans trous de tamis,
CCUEN067,Placa fria 3GN de 2 niveles Sin agujeros pantalla,2-level 3GN cold plate Without screen holes,Plaque froide 3GN à 2 niveaux Sans trous d'écran,
CCUEN068,Placa fria 4GN de 2 niveles Sin agujeros pantalla,2-level 4GN cold plate Without screen holes,Plaque froide 4GN à 2 niveaux Sans trous de tamis,
CCUEN069,Placa fria 5GN de 2 niveles Sin agujeros pantalla,2-level 5GN cold plate Without screen holes,Plaque froide 5GN à 2 niveaux Sans trous d'écran,
CCUEN070,Cuba para encastrar 2/1 GN prof. 215 Sin agujeros Pantalla,Tank to embed 2/1 GN prof. 215 No holes Screen,Cuve à encastrer 2/1 GN prof. 215 Pas de trous Écran,
CCUEN071,Cuba para encastrar 3/1 GN prof. 160 Sin agujeros Pantalla,Well to embed 3/1 GN prof. 160 No holes Screen,Puits à encastrer 3/1 GN prof. 160 Pas de trous Écran,
CCUEN072,Cuba para encastrar 4/1 GN prof. 160 Sin agujeros Pantalla,Cuba to embed 4/1 GN prof. 160 No holes Screen,Cuba va intégrer 4/1 GN prof. 160 Pas de trous Écran,
CCUEN073,Cuba para encastrar 5/1 GN prof. 160 Sin agujeros Pantalla,Cuba to embed 5/1 GN prof. 160 No holes Screen,Cuba va intégrer 5/1 GN prof. 160 Pas de trous Écran,
CCUEN074,Cuba para encastrar 6/1 GN prof. 160 Sin agujeros Pantalla,Cuba to embed 6/1 GN prof. 160 No holes Screen,Cuba pour intégrer 6/1 GN prof. 160 Pas de trous Écran,
CCUEN075,Placa fria 6GN Sin agujeros pantalla,Cold plate 6GN Without screen holes,Plaque froide 6GN Sans trous de tamis,
CCUEN076,Encimera con placa para encastrar 3/1 GN,Hob with plate to embed 3/1 GN,Table de cuisson avec plaque à encastrer 3/1 GN,
CCUEN077,Encimera con placa para encastrar 4/1 GN,Countertop with 4/1 GN recessed plate,Plan de travail avec plaque à encastrer GN 4/1,
CCUEN078,Encimera con placa para encastrar 6/1 GN,Countertop with plate to embed 6/1 GN,Plan de travail avec plaque à encastrer 6/1 GN,
CCUEN079,Cuba para encastrar 1/1 GN prof. 215 Sin agujeros Pantalla,Cuba to embed 1/1 GN prof. 215 No holes Screen,Cuba pour intégrer 1/1 GN prof. 215 Pas de trous Écran,
CCULA001,Cubeta para lavamanos mural (Lavamani eco piccolo con pil.),Bowl for wall-mounted washbasin (Lavamani eco piccolo with pil.),Bol pour lavabo suspendu (Lavamani eco piccolo avec pil.),
CCULA003,Cubeta para lavamanos de pie 450x500 Ref. 32515/45,Floor-standing basin container 450x500 Ref. 32515/45,Bac vasque au sol 450x500 Réf.32515/45,
CCULA004,Cubeta especial 720x630 h=180 mm para baño maría sobremesa,Special tub 720x630 h = 180 mm for tabletop water bath,Baignoire spéciale 720x630 h = 180 mm pour bain-marie à poser,
CCULA006,Cubeta inox para lavamanos LV44 400X400 cubeta esferica,Stainless steel basin for washbasin LV44 400X400 spherical bowl,Vasque inox pour vasque LV44 400X400 vasque sphérique,
CCULA007,Cubeta inox para lavamanos LV353 350x315 con cubeta esferica,Stainless steel basin for hand basin LV353 350x315 with spherical basin,Lave-mains inox LV353 350x315 avec vasque sphérique,
CDEC1000,Plafón decorativo wengué (374x630mm),Wenge decorative ceiling lamp (374x630mm),Plafonnier décoratif en wengé (374x630mm),
CDEC1001,Plafón decorativo wengué (674x630mm),Wenge decorative ceiling lamp (674x630mm),Plafonnier décoratif en wengé (674x630mm),
CDEC1002,Plafón decorativo wengué (774x630mm),Wenge decorative ceiling lamp (774x630mm),Plafonnier décoratif en wengé (774x630mm),
CDEC1003,Plafón decorativo wengué (874x630mm),Wenge decorative ceiling lamp (874x630mm),Plafonnier décoratif en wengé (874x630mm),
CDEC1004,Plafón decorativo wengué (1074x630mm),Wenge decorative ceiling lamp (1074x630mm),Plafonnier décoratif en wengé (1074x630mm),
CDEC1005,Plafón decorativo wengué (1174x630mm),Wenge decorative ceiling lamp (1174x630mm),Plafonnier décoratif en wengé (1174x630mm),
CDEC1006,Plafón decorativo wengué (1474x630mm),Wenge decorative ceiling lamp (1474x630mm),Plafonnier décoratif en wengé (1474x630mm),
CDEC1007,Plafón decorativo wengué (1054x630mm),Wenge decorative ceiling lamp (1054x630mm),Plafonnier décoratif en wengé (1054x630mm),
CDEC1008,Plafón decorativo wengué (860x630mm),Wenge decorative ceiling lamp (860x630mm),Plafonnier décoratif en wengé (860x630mm),
CDEC1009,Plafón decorativo wengué (446x630mm),Wenge decorative ceiling lamp (446x630mm),Plafonnier décoratif en wengé (446x630mm),
CDEC1010,Plafón decorativo wengué (434x630mm),Wenge decorative ceiling lamp (434x630mm),Plafonnier décoratif en wengé (434x630mm),
CDEC1011,Plafón decorativo wengué (206x630mm),Wenge decorative ceiling lamp (206x630mm),Plafonnier décoratif en wengé (206x630mm),
CDEC1012,Plafón decorativo wengué (1050x630mm),Wenge decorative ceiling lamp (1050x630mm),Plafonnier décoratif en wengé (1050x630mm),
CDEC1013,Plafón decorativo wengué (1434x630mm),Wenge decorative ceiling lamp (1434x630mm),Plafonnier décoratif en wengé (1434x630mm),
CDEC1014,Plafón decorativo arce del canadá (374x630mm),Decorative ceiling light canada maple (374x630mm),Plafonnier déco érable du canada (374x630mm),
CDEC1015,Plafón decorativo arce del canadá (674x630mm),Decorative ceiling light canada maple (674x630mm),Plafonnier décoratif érable du canada (674x630mm),
CDEC1016,Plafón decorativo arce del canadá (774x630mm),Decorative ceiling light canada maple (774x630mm),Plafonnier déco érable du canada (774x630mm),
CDEC1017,Plafón decorativo arce del canadá (874x630mm),Decorative ceiling light canada maple (874x630mm),Plafonnier décoratif érable du canada (874x630mm),
CDEC1018,Plafón decorativo arce del canadá (1074x630mm),Decorative ceiling light canada maple (1074x630mm),Plafonnier déco érable du canada (1074x630mm),
CDEC1019,Plafón decorativo arce del canadá (1174x630mm),Decorative ceiling light canada maple (1174x630mm),Plafonnier décoratif érable du canada (1174x630mm),
CDEC1020,Plafón decorativo arce del canadá (1474x630mm),Decorative ceiling light canada maple (1474x630mm),Plafonnier déco érable du canada (1474x630mm),
CDEC1021,Plafón decorativo arce del canadá (1054x630mm),Decorative ceiling light canada maple (1054x630mm),Plafonnier déco érable du canada (1054x630mm),
CDEC1022,Plafón decorativo arce del canadá (446x630mm),Decorative ceiling light canada maple (446x630mm),Plafonnier décoratif érable du canada (446x630mm),
CDEC1023,Plafón decorativo arce del canadá (446x630mm),Decorative ceiling light canada maple (446x630mm),Plafonnier décoratif érable du canada (446x630mm),
CDEC1024,Plafón decorativo arce del canadá (434x630mm),Decorative ceiling light canada maple (434x630mm),Plafonnier décoratif érable du canada (434x630mm),
CDEC1025,Plafón decorativo arce del canadá (206x630mm),Decorative ceiling light canada maple (206x630mm),Plafonnier déco érable du canada (206x630mm),
CDEC1026,Plafón decorativo arce del canadá(1050x630mm),Decorative ceiling light canada maple (1050x630mm),Plafonnier décoratif érable du canada (1050x630mm),
CDEC1027,Plafón decorativo arce del canadá (1434x630mm),Decorative ceiling light canada maple (1434x630mm),Plafonnier décoratif érable du canada (1434x630mm),
CDEC1028,Plafón decorativo nogal (374x630mm),Walnut decorative ceiling lamp (374x630mm),Plafonnier décoratif en noyer (374x630mm),
CDEC1029,Plafón decorativo nogal (674x630mm),Walnut decorative ceiling lamp (674x630mm),Plafonnier décoratif en noyer (674x630mm),
CDEC1030,Plafón decorativo nogal (774x630mm),Walnut decorative ceiling lamp (774x630mm),Plafonnier décoratif en noyer (774x630mm),
CDEC1031,Plafón decorativo nogal (874x630mm),Walnut decorative ceiling lamp (874x630mm),Plafonnier décoratif en noyer (874x630mm),
CDEC1032,Plafón decorativo nogal (1074x630mm),Walnut decorative ceiling lamp (1074x630mm),Plafonnier décoratif en noyer (1074x630mm),
CDEC1033,Plafón decorativo nogal (1174x630mm),Walnut decorative ceiling lamp (1174x630mm),Plafonnier décoratif en noyer (1174x630mm),
CDEC1034,Plafón decorativo nogal (1474x630mm),Walnut decorative ceiling lamp (1474x630mm),Plafonnier décoratif en noyer (1474x630mm),
CDEC1035,Plafón decorativo nogal (1054x630mm),Walnut decorative ceiling lamp (1054x630mm),Plafonnier décoratif en noyer (1054x630mm),
CDEC1036,Plafón decorativo nogal (860x630mm),Walnut decorative ceiling lamp (860x630mm),Plafonnier décoratif en noyer (860x630mm),
CDEC1037,Plafón decorativo nogal (446x630mm),Walnut decorative ceiling lamp (446x630mm),Plafonnier décoratif en noyer (446x630mm),
CDEC1038,Plafón decorativo nogal (434x630mm),Walnut decorative ceiling lamp (434x630mm),Plafonnier décoratif en noyer (434x630mm),
CDEC1039,Plafón decorativo nogal (206x630mm),Walnut decorative ceiling lamp (206x630mm),Plafonnier décoratif en noyer (206x630mm),
